"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4427","Luca Cipelletti","Domenico Truzzolillo, Serge Mora, Christelle Dupas and Luca Cipelletti","Off-equilibrium surface tension in colloidal suspensions","5 pages, 5 figures + supplementary material","Phys. Rev. Lett. 112, 128303 (2014)","10.1103/PhysRevLett.112.128303",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the fingering instability of the interface between two miscible
fluids, a colloidal suspension and its own solvent. The temporal evolution of
the interface in a Hele-Shaw cell is found to be governed by the competition
between the non-linear viscosity of the suspension and an off-equilibrium,
effective surface tension $\Gamma_e$. By studying suspensions in a wide range
of volume fractions, $\Phi_\mathrm{C}$, we show that $\Gamma_e \sim
\Phi_\mathrm{C}^2$, in agreement with Korteweg's theory for miscible fluids.
The surface tension exhibits an anomalous increase with particle size, which we
account for using entropy arguments.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:56:00 GMT""}]","2014-03-31"
"1312.4428","Laszlo Egri","Laszlo Egri","On Constraint Satisfaction Problems below P",,,,,"cs.CC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Symmetric Datalog, a fragment of the logic programming language Datalog, is
conjectured to capture all constraint satisfaction problems (CSP) in L.
Therefore developing tools that help us understand whether or not a CSP can be
defined in symmetric Datalog is an important task. It is widely known that a
CSP is definable in Datalog and linear Datalog if and only if that CSP has
bounded treewidth and bounded pathwidth duality, respectively. In the case of
symmetric Datalog, Bulatov, Krokhin and Larose ask for such a duality (2008).
We provide two such dualities, and give applications. In particular, we give a
short and simple new proof of the result of Dalmau and Larose that ""Maltsev +
Datalog -> symmetric Datalog"" (2008).
  In the second part of the paper, we provide some evidence for the conjecture
of Dalmau (2002) that every CSP in NL is definable in linear Datalog. Our
results also show that a wide class of CSPs-CSPs which do not have bounded
pathwidth duality (e.g., the P-complete Horn-3Sat problem)-cannot be defined by
any polynomial size family of monotone read-once nondeterministic branching
programs.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:59:49 GMT""},{""version"":""v2"",""created"":""Tue, 17 Dec 2013 15:02:02 GMT""}]","2013-12-18"
"1312.4429","Csaba D. Toth","Eyal Ackerman, Michelle M. Allen, Gill Barequet, Maarten L\""offler,
  Joshua Mermelstein, Diane L. Souvaine and Csaba D. T\'oth","The Flip Diameter of Rectangulations and Convex Subdivisions","17 pages, 12 figures, an extended abstract has been presented at
  LATIN 2014","Discrete Mathematics & Theoretical Computer Science, Vol. 18 no.
  3, Combinatorics (March 17, 2016) dmtcs:1413","10.46298/dmtcs.646",,"cs.DM cs.CG math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the configuration space of rectangulations and convex subdivisions
of $n$ points in the plane. It is shown that a sequence of $O(n\log n)$
elementary flip and rotate operations can transform any rectangulation to any
other rectangulation on the same set of $n$ points. This bound is the best
possible for some point sets, while $\Theta(n)$ operations are sufficient and
necessary for others. Some of our bounds generalize to convex subdivisions of
$n$ points in the plane.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:08:10 GMT""},{""version"":""v2"",""created"":""Sun, 17 May 2015 17:56:47 GMT""},{""version"":""v3"",""created"":""Fri, 29 Jan 2016 16:43:47 GMT""},{""version"":""v4"",""created"":""Wed, 9 Mar 2016 13:02:42 GMT""},{""version"":""v5"",""created"":""Thu, 10 Mar 2016 22:12:29 GMT""}]","2021-10-04"
"1312.4430","Mariana Penna Lima Vitenti","M. Penna-Lima, M. Makler, C. A. Wuensche","Biases on cosmological parameter estimators from galaxy cluster number
  counts","27 pages, 5 figures, submitted to JCAP. New discussion on biases for
  large SZ surveys. Minor text revision and references added","JCAP05(2014)039","10.1088/1475-7516/2014/05/039",,"astro-ph.CO gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Sunyaev-Zel'dovich (SZ) surveys are promising probes of cosmology - in
particular for Dark Energy (DE) -, given their ability to find distant clusters
and provide estimates for their mass. However, current SZ catalogs contain tens
to hundreds of objects and maximum likelihood estimators may present biases for
such sample sizes. In this work we use the Monte Carlo approach to determine
the presence of bias on cosmological parameter estimators from cluster
abundance as a function of the area and depth of the survey, and the number of
cosmological parameters fitted. Assuming perfect knowledge of mass and redshift
some estimators have non-negligible biases. For example, the bias of $\sigma_8$
corresponds to about $40%$ of its statistical error bar when fitted together
with $\Omega_c$ and $w_0$. Including a SZ mass-observable relation decreases
the relevance of the bias, for the typical sizes of current surveys. The biases
become negligible when combining the SZ data with other cosmological probes.
However, we show that the biases from SZ estimators do not go away with
increasing sample sizes and they may become the dominant source of error for an
all sky survey at the South Pole Telescope (SPT) sensitivity. The results of
this work validate the use of the current maximum likelihood methods for
present SZ surveys, but highlight the need for further studies for upcoming
experiments. [abridged]
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:10:41 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 2014 01:58:20 GMT""}]","2014-05-28"
"1312.4431","Cosmo Lupo","Cosmo Lupo, Seth Lloyd","Maximally strong entropic uncertainty relations and gauge invariance","Paper withdrawn by the authors. We became aware of a flaw in the
  proof that invalidates the result",,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Uncertainty relations are among the unique fingerprints of quantum physics,
being direct expression of non-commutativity and complementarity. Entropic
uncertainty relations arise in quantum information theory as the most natural
expression of the uncertainty principle and have proven themselves important
tools for cryptographic security proofs. An open question has been how strong
entropic uncertainty relations can be. Here we answer this question by showing
that there exist observables that obey maximally strong entropic uncertainty
relations in high dimensional Hilbert spaces. Actually, we show that maximally
strong uncertainty relations are typically verified if the observables are
distributed somehow uniformly. In particular, we show that phase randomness in
a mutually unbiased basis is sufficient, providing a link between uncertainty
relations and local gauge invariance. For quantum systems of finite dimensions
our approach provides an explicit relation between the strength of the
uncertainty and its probability.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:11:17 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 2014 01:05:21 GMT""}]","2014-01-30"
"1312.4432","Andrew Berridge","A. M. Berridge, A. G. Green","Non-equilibrium conductivity at quantum critical points","5 pages, 2 figures","Phys. Rev. B 88, 220512(R) (2013)","10.1103/PhysRevB.88.220512",,"cond-mat.str-el cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Quantum criticality provides an important route to revealing universal
non-equilibrium behaviour. A canonical example of a quantum critical point is
the Bose-Hubbard model, which we study under the application of an electric
field. A Boltzmann transport formalism and $\epsilon$-expansion are used to
obtain the non-equilibrium conductivity and current noise. This approach allows
us to explicitly identify how a universal non-equilibrium steady state is
maintained, by identifying the rate-limiting step in balancing Joule heating
and dissipation to a heat bath. It also reveals that the non-equilibrium
distribution function is very far from a thermal distribution.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:14:43 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 2014 14:58:40 GMT""}]","2015-06-18"
"1312.4433","Tova Yoast-Hull","J. S. Gallagher III, Tova M. Yoast-Hull, Ellen G. Zweibel","Lessons from Comparisons between the Nuclear Region of the Milky Way &
  Those in Nearby Spirals","4 pages, 3 figures, to appear in Proceedings of the IAU Symposium No.
  303, ""The Galactic Center: Feeding and Feedback in a Normal Galactic Nucleus""",,"10.1017/S1743921314000155",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Milky Way appears is a typical barred spiral, and comparisons can be made
between its nuclear region and those of structurally similar nearby spirals.
Maffei 2, M83, IC 342 and NGC 253 are nearby systems whose nuclear region
properties contrast with those of the Milky Way. Stellar masses derived from
NIR photometery, molecular gas masses and star formation rates allow us to
assess the evolutionary states of this set of nuclear regions. These data
suggest similarities between nuclear regions in terms of their stellar content
while highlighting significant differences in current star formation rates. In
particular current star formation rates appear to cover a larger range than
expected based on the molecular gas masses. This behavior is consistent with
nuclear region star formation experiencing episodic variations. Under this
hypothesis the Milky Way's nuclear region currently may be in a low star
formation rate phase.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:24:36 GMT""}]","2015-06-18"
"1312.4434","Yi Yin","Yi Yin","Electrical conductivity of the quark-gluon plasma and soft photon
  spectrum in heavy-ion collisions","17 pages, 2 figures, published version","Phys. Rev. C 90, 044903 (2014)","10.1103/PhysRevC.90.044903",,"nucl-th hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We extract the electrical conductivity $\sigma_0$ of the quark gluon
plasma(QGP) and study the effects of magnetic field and chiral anomaly on soft
photon azimuthal anisotropy, $v_2$, based on the thermal photon spectrum at
$0.4GeV<p_{\perp}<0.6GeV$ at RHIC energy. As a basis for our analysis, we
derive the behavior of retarded photon self energy of a strongly interacting
neutral plasma in hydrodynamic regime in the presence of magnetic field and
chiral anomaly. By evolving the resulting soft thermal photon production rate
over the realistic hydrodynamic background and comparing the results with the
preliminary data from the PHENIX Collaboration, we found that the electrical
conductivity at QGP temperature is in the range: $0.4<\sigma_0/(e^{2}T) <1.1$,
which is comparable with recent studies on lattice. We also compare the
contribution from the magnetic field and chiral anomaly to soft thermal photon
$v_{2}$ with the data. We argue that at LHC, the chiral magnetic wave would
give negative contribution to photon $v_2$.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:26:32 GMT""},{""version"":""v2"",""created"":""Mon, 13 Oct 2014 02:08:04 GMT""}]","2014-10-15"
"1312.4435","Dana Longcope","D.W. Longcope and T.G. Forbes","Breakout and Tether-cutting Eruption Models Are Both Catastrophic
  (Sometimes)",,,"10.1007/s11207-013-0464-8",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a simplified analytic model of a quadrupolar magnetic field and
flux rope to model coronal mass ejections. The model magnetic field is
two-dimensional, force-free and has current only on the axis of the flux rope
and within two currents sheets. It is a generalization of previous models
containing a single current sheet anchored to a bipolar flux distribution. Our
new model can undergo quasi-static evolution due either to changes at the
boundary or to magnetic reconnection at either current sheet. We find that all
three kinds of evolution can lead to a catastrophe known as loss of
equilibrium. Some equilibria can be driven to catastrophic instability either
through reconnection at the lower current sheet, known as tether cutting, or
through reconnection at the upper current sheet, known as breakout. Other
equilibria can be destabilized through only one and not the other. Still others
undergo no instability, but evolve increasingly rapidly in response to slow
steady driving (ideal or reconnective). One key feature of every case is a
response to reconnection different from that found in simpler systems. In our
two-current sheet model a reconnection electric field in one current sheet
causes the current in that sheet to {\em increase} rather than decrease. This
suggests the possibility for the microscopic reconnection mechanism to run
away.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:26:49 GMT""}]","2015-06-18"
"1312.4436","Haibo Qiu","Haibo Qiu, Bruno Julia-Diaz, Miguel Angel Garcia-March, and Artur
  Polls","Measure synchronization in quantum many-body systems","8 pages, 7 figures","Phys. Rev. A 90, 033603 (2014)","10.1103/PhysRevA.90.033603",,"cond-mat.quant-gas nlin.CD nlin.PS quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The concept of measure synchronization between two coupled quantum many-body
systems is presented. In general terms we consider two quantum many-body
systems whose dynamics gets coupled through the contact particle-particle
interaction. This coupling is shown to produce measure synchronization, a
generalization of synchrony to a large class of systems which takes place in
absence of dissipation. We find that in quantum measure synchronization, the
many-body quantum properties for the two subsystems, e.g. condensed fractions
and particle fluctuations, behave in a coordinated way. To illustrate the
concept we consider a simple case of two species of bosons occupying two
distinct quantum states. Measure synchronization can be readily explored with
state-of-the-art techniques in ultracold atomic gases and, if propertly
controlled, be employed to share quantum correlations between different degrees
of freedom.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:29:26 GMT""},{""version"":""v2"",""created"":""Fri, 24 Oct 2014 13:32:58 GMT""}]","2014-10-27"
"1312.4437","Thibault J.Y. Derrien","Thibault J.-Y. Derrien, J\""org Kr\""uger, Tatiana E. Itina, Sandra
  H\""ohm, Arkadi Rosenfeld, J\""orn Bonse","Rippled area formed by surface plasmon polaritons upon femtosecond laser
  double-pulse irradiation of silicon: the role of carrier generation and
  relaxation processes","5 pages, 5 figures, Conference On Laser Ablation (COLA) 2013. The
  final publication is available at http://link.springer.com. Accepted for
  publication in Applied Physics A",,"10.1007/s00339-013-8205-2",,"cond-mat.mtrl-sci physics.optics physics.plasm-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The formation of laser-induced periodic surface structures (LIPSS, ripples)
upon irradiation of silicon with multiple irradiation sequences consisting of
femtosecond laser pulse pairs (pulse duration 150 fs, central wavelength 800
nm) is studied numerically using a rate equation system along with a
two-temperature model accounting for one- and two-photon absorption and
subsequent carrier diffusion and Auger recombination processes. The temporal
delay between the individual equal-energy fs-laser pulses was varied between
$0$ and $\sim 4$ ps for quantification of the transient carrier densities in
the conduction band of the laser-excited silicon. The results of the numerical
analysis reveal the importance of carrier generation and relaxation processes
in fs-LIPSS formation on silicon and quantitatively explain the two time
constants of the delay dependent decrease of the Low-Spatial-Frequency LIPSS
(LSFL) area observed experimentally. The role of carrier generation, diffusion
and recombination are quantified individually.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 17:30:26 GMT""}]","2013-12-17"
